nerveId:ID(Nerve),name,derivations,types,pathway,clinical
median,Median Nerve,C5|C6|C7|C8|T1,motor|sensory,"Travels with brachial artery, passes through cubital fossa, enters forearm between heads of pronator teres, runs through carpal tunnel into hand.",Compression in carpal tunnel causes carpal tunnel syndrome; weakness in thumb opposition and forearm pronation.
ulnar,Ulnar Nerve,C8|T1,motor|sensory,"Passes posterior to medial epicondyle of humerus, continues along ulnar side of forearm into hand.","Injury at elbow or wrist can cause ""claw hand"" and sensory loss in medial hand."
axillary,Axillary Nerve,C5|C6,motor|sensory,"Exits axilla through quadrangular space with posterior circumflex humeral artery, wraps around surgical neck of humerus.","Injury can occur with shoulder dislocation or humeral surgical neck fracture, causing deltoid paralysis and sensory loss over deltoid."
suprascapular,Suprascapular Nerve,C5|C6,motor,Passes through suprascapular notch under the superior transverse scapular ligament to supply supraspinatus and infraspinatus.,Compression at the notch can cause weakness in shoulder abduction and external rotation.
musculocutaneous,Musculocutaneous Nerve,C5|C6|C7,motor|sensory,"Pierces coracobrachialis, travels between biceps brachii and brachialis, continues as lateral cutaneous nerve of the forearm.",Injury results in weakened elbow flexion and forearm supination with sensory loss along the lateral forearm.
radial_nerve,Radial Nerve,C5|C6|C7|C8|T1,motor|sensory,"Runs in radial groove of humerus, traverses lateral intermuscular septum, divides into superficial and deep branches near lateral epicondyle.",Injury in the radial groove causes wrist drop and sensory loss over dorsum of hand.
anterior_interosseous_nerve,Anterior Interosseous Nerve,C8|T1,motor,Branch of the median nerve coursing along the anterior interosseous membrane to the deep flexor compartment.,Lesion produces pinch weakness (OK sign) due to loss of thumb and index finger flexion.
posterior_interosseous_nerve,Posterior Interosseous Nerve,C7|C8,motor,Deep branch of radial nerve passing through supinator to supply posterior forearm extensors.,Compression in the supinator (radial tunnel) causes finger and thumb extension weakness without sensory loss.
lateral_pectoral_nerve,Lateral Pectoral Nerve,C5|C6|C7,motor,"Arises from lateral cord of brachial plexus, passes medially to pierce clavipectoral fascia reaching pectoralis major.",Lesion reduces shoulder flexion and adduction strength from the clavicular head of pectoralis major.
medial_pectoral_nerve,Medial Pectoral Nerve,C8|T1,motor,"Originates from medial cord, pierces pectoralis minor to reach and supply pectoralis major.",Injury weakens scapular depression and shoulder adduction contributed by pectoralis major and minor.
upper_subscapular_nerve,Upper Subscapular Nerve,C5|C6,motor,"Branches from posterior cord, enters proximal subscapularis on its anterior surface.",Injury decreases initial shoulder medial rotation strength.
lower_subscapular_nerve,Lower Subscapular Nerve,C5|C6,motor,"Branches from posterior cord, descends along the subscapularis to innervate its inferior portion and teres major.",Damage impairs shoulder medial rotation and adduction from subscapularis and teres major.
deep_branch_ulnar,Deep Branch of Ulnar Nerve,C8|T1,motor,"Passes through Guyon's canal, diving deep to supply most intrinsic hand muscles.",Compression in Guyon's canal causes weakness in interossei and hypothenar muscles with sensory sparing.
recurrent_branch_median,Recurrent Branch of Median Nerve,C8|T1,motor,Emerges after the carpal tunnel to supply thenar muscles.,Injury during carpal tunnel release leads to loss of thumb opposition and abduction.
long_thoracic,Long Thoracic Nerve,C5|C6|C7,motor,"Descends along lateral thoracic wall, superficial to serratus anterior.",Injury leads to winged scapula due to paralysis of serratus anterior.
